movie,year,director,blurb,runtime (minutes),budget,revenue,tooltip_image,image1,image2,image3
Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,116,,,,,,
Castle in the Sky,1986,Hayao Miyazaki,"Pazu's life changes when he meets Sheeta, a girl whom pirates are chasing for her crystal amulet, which has the potential to locate Laputa, a legendary castle floating in the sky.",124,,,,,,
Grave of the Fireflies,1988,Isao Takahata,A young boy and his little sister struggle to survive in Japan during World War II.,88,,,,,,
My Neighbor Totoro,1988,Hayao Miyazaki,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86,,,,,,
Kiki's Delivery Service,1989,Hayao Miyazaki,"Along with her black cat Jiji, Kiki settles in a seaside town and starts a high-flying delivery service. Here begins her magical encounter with independence and responsibility, making lifelong friends and finding her place in the world.",102,,,,,,
Only Yesterday,1991,Isao Takahata,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,119,,,,,,
Porco Rosso,1992,Hayao Miyazaki,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.",93,,,,,,
Ocean Waves,1993,Tomomi Mochizuki,"As a young man returns home after his first year away at college he recalls his senior year of high school and the iron-willed, big city girl that turned his world upside down.",72,,,,,,
Pom Poko,1994,Isao Takahata,A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.,119,,,,,,
Whisper of the Heart,1995,Yoshifumi Kondô,A love story between a girl who loves reading books and a boy who has previously checked out all of the library books she chooses.,111,,,,,,
Princess Mononoke,1997,Hayao Miyazaki,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her home.",133,,,,,,
My Neighbors the Yamadas,1999,Isao Takahata,The life and misadventures of a family in contemporary Japan.,104,,,,,,
Spirited Away,2001,Hayao Miyazaki,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",125,,,,,,
The Cat Returns,2002,Hiroyuki Morita,"After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life.",75,,,,,,
Howl's Moving Castle,2004,Hayao Miyazaki,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",119,,,,,,
Tales from Earthsea,2006,Gorô Miyazaki,"In a mythical land, a man and a young boy investigate a series of unusual occurrences.",115,,,,,,
Ponyo on the Cliff by the Sea,2008,Hayao Miyazaki,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",101,,,,,,
Arrietty,2010,Hiromasa Yonebayashi,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered.",94,,,,,,
From Up on Poppy Hill,2011,Gorô Miyazaki,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,91,,,,,,
The Wind Rises,2013,Hayao Miyazaki,"Jiro Horikoshi studies assiduously to fulfill his aim of becoming an aeronautical engineer. As WWII begins, fighter aircraft designed by him end up getting used by the Japanese Empire against its foes.",126,,,,,,
The Tale of The Princess Kaguya,2013,Isao Takahata,"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices.",137,,,,,,
When Marnie Was There,2014,Hiromasa Yonebayashi,"Anna, a shy 12-year-old girl, is sent to spend time with her aunt and uncle who live in the countryside, where she meets Marnie. The two become best friends. But Anna gradually discovers that Marnie is not quite who she appears to be.",103,,,,,,
The Red Turtle,2016,Michael Dudok de Wit,A massive sea turtle destroys a stranded man's raft every time he tries to sail away from a tropical island.,81,,,,,,
Earwig and the Witch,2020,Gorô Miyazaki,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.",82,,,,,,
The Boy and the Heron,2023,Hayao Miyazaki,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",124,,,,,,
